iter	Passed	Remaining
842	20932	53560
843	20955	53531
844	20978	53500
845	21000	53469
846	21021	53434
847	21054	53431
848	21083	53417
849	21108	53391
850	21136	53374
851	21162	53354
852	21187	53328
853	21211	53303
854	21235	53275
855	21259	53247
856	21283	53221
857	21311	53204
858	21339	53186
859	21367	53170
860	21391	53142
861	21420	53128
862	21453	53123
863	21482	53110
864	21512	53096
865	21535	53066
866	21556	53034
867	21582	53011
868	21604	52980
869	21627	52949
870	21653	52927
871	21676	52897
872	21696	52861
873	21721	52837
874	21746	52812
875	21768	52781
876	21792	52754
877	21818	52731
878	21837	52694
879	21858	52660
880	21885	52640
881	21907	52606
882	21926	52569
883	21951	52545
884	21975	52517
885	21995	52480
886	22017	52450
887	22044	52430
888	22068	52402
889	22099	52392
890	22129	52379
891	22153	52352
892	22176	52325
893	22204	52308
894	22229	52283
895	22257	52264
896	22283	52243
897	22310	52224
898	22336	52202
899	22363	52181
900	22388	52156
901	22411	52127
902	22435	52102
903	22458	52071
904	22482	52046
905	22507	52020
906	22533	51997
907	22558	51973
908	22583	51949
909	22609	51927
910	22631	51896
911	22656	51870
912	22676	51835
913	22696	51799
914	22723	51780
915	22750	51760
916	22777	51738
917	22801	51713
918	22825	51687
919	22850	51661
920	22875	51638
921	22900	51613
922	22925	51588
923	22948	51558
924	22970	51528
925	22996	51506
926	23022	51484
927	23049	51464
928	23077	51447
929	23104	51427
930	23130	51403
931	23158	51385
932	23186	51367
933	23209	51338
934	23232	51310
935	23258	51287
936	23287	51272
937	23310	51244
938	23339	51227
939	23367	51208
940	23393	51188
941	23416	51159
942	23439	51128
943	23464	51105
944	23490	51082
945	23510	51046
946	23539	51032
947	23564	51007
948	23592	50987
949	23613	50955
950	23636	50927
951	23675	50931
952	23701	50909
953	23723	50878
954	23748	50855
955	23773	50829
956	23800	50809
957	23826	50787
958	23851	50761
959	23873	50730
960	23894	50697
961	23919	50674
962	23944	50648
963	23967	50619
964	23989	50589
965	24016	50569
966	24037	50536
967	24065	50516
968	24094	50500
969	24122	50482
970	24144	50452
971	24168	50425
972	24193	50400
973	24221	50381
974	24245	50355
975	24270	50331
976	24290	50297
977	24315	50272
978	24344	50254
979	24371	50235
980	24399	50216
981	24423	50189
982	24450	50168
983	24472	50139
984	24497	50114
985	24523	50091
986	24548	50067
987	24572	50041
988	24594	50009
989	24615	49977
990	24640	49953
991	24662	49921
992	24682	49886
993	24706	49859
994	24734	49842
995	24755	49809
996	24778	49779
997	24799	49748
998	24824	49724
999	24847	49695
1000	24868	49661
1001	24889	49630
1002	24914	49606
1003	24939	49580
1004	24960	49547
1005	24981	49515
1006	25004	49487
1007	25028	49460
1008	25051	49432
1009	25083	49421
1010	25111	49402
1011	25140	49386
1012	25164	49359
1013	25189	49334
1014	25216	49315
1015	25241	49290
1016	25264	49262
1017	25294	49247
1018	25317	49218
1019	25344	49197
1020	25368	49171
1021	25394	49148
1022	25415	49116
1023	25441	49094
1024	25468	49073
1025	25495	49052
1026	25518	49024
1027	25542	48998
1028	25565	48969
1029	25586	48937
1030	25611	48911
1031	25632	48880
1032	25653	48848
1033	25677	48822
1034	25698	48790
1035	25723	48765
1036	25750	48744
1037	25770	48711
1038	25794	48684
1039	25814	48649
1040	25838	48623
1041	25861	48596
1042	25887	48573
1043	25910	48545
1044	25935	48521
1045	25961	48497
1046	25984	48468
1047	26009	48445
1048	26038	48427
1049	26069	48415
1050	26094	48390
1051	26123	48373
1052	26152	48355
1053	26176	48329
1054	26200	48303
1055	26227	48283
1056	26256	48265
1057	26284	48246
1058	26306	48216
1059	26333	48195
1060	26362	48177
1061	26382	48145
1062	26407	48119
1063	26433	48097
1064	26461	48077
1065	26494	48067
1066	26514	48034
1067	26540	48011
1068	26562	47981
1069	26587	47957
1070	26611	47930
1071	26635	47903
1072	26660	47880
1073	26685	47855
1074	26711	47833
1075	26735	47806
1076	26762	47784
1077	26788	47762
1078	26817	47744
1079	26839	47714
1080	26862	47686
1081	26886	47659
1082	26911	47635
1083	26933	47605
1084	26958	47581
1085	26983	47556
1086	27011	47536
1087	27036	47512
1088	27061	47487
1089	27085	47462
1090	27109	47434
1091	27131	47406
1092	27157	47382
1093	27183	47359
1094	27209	47337
1095	27231	47307
1096	27259	47288
1097	27282	47259
1098	27312	47243
1099	27334	47214
1100	27360	47191
1101	27384	47164
1102	27405	47134
1103	27432	47112
1104	27459	47090
1105	27482	47062
1106	27502	47030
1107	27525	47001
1108	27546	46971
1109	27584	46967
1110	27607	46939
1111	27627	46906
1112	27651	46880
1113	27675	46855
1114	27699	46828
1115	27725	46804
1116	27746	46773
1117	27766	46740
1118	27789	46713
1119	27812	46686
1120	27833	46654
1121	27854	46622
1122	27880	46599
